text,label
"Hiring outcome automation system where applicants have no clear appeal process. There is potential impact on protected groups depending on deployment context. Security controls are in place. No human review is performed before outcomes are applied. The tool is partially automated and integrates into existing processes. Human intervention is possible but uncommon in day-to-day operations. Decisions can significantly affect individuals in employment, finance, health, or rights.",High
Automated credit approval system making final decisions without routine human review. No personal data is processed. Fairness risks are considered low based on current understanding. Security controls are in place. No human review is performed before outcomes are applied. The system supports eligibility decisions in some workflows. Human intervention is possible but uncommon in day-to-day operations. The system operates at large scale and outcomes may be difficult to contest.,High
"Internal dashboard summarizing team productivity metrics for managers. No personal data is processed. Fairness risks are considered low based on current understanding. Security controls are in place. Human oversight is limited to spot checks or exceptions. The system generates a score used for prioritization. The system stores basic user account information and audit logs. The outcome does not directly affect rights, employment, or finances.",Low
"Fraud detection model that flags suspicious transactions for analyst review. Limited personal data is processed, such as user IDs and contact details. There is potential impact on protected groups depending on deployment context. Security controls are partially implemented and monitoring is limited. Final decisions are reviewed by a human.",Medium
Hiring outcome automation system where applicants have no clear appeal process. No personal data is processed. Fairness risks are considered low based on current understanding. Security controls are in place. Final decisions are reviewed by a human. Human intervention is possible but uncommon in day-to-day operations.,High
AI system supporting insurance eligibility decisions automatically for most cases. No personal data is processed. There is potential impact on protected groups depending on deployment context. The system may be vulnerable to misuse or adversarial manipulation. Final decisions are reviewed by a human. The system generates a score used for prioritization.,High
Internal dashboard summarizing team productivity metrics for managers. No personal data is processed. Fairness risks are considered low based on current understanding. Security controls are partially implemented and monitoring is limited. No human review is performed before outcomes are applied. The output is used as a risk assessment signal. This is used for internal eligibility checks for training access only.,Low
Healthcare triage assistant suggesting priority levels for nurse review. No personal data is processed. Bias testing has not yet been performed. Security controls are in place. Human oversight is limited to spot checks or exceptions. The output is used as a risk assessment signal.,Medium
"Fraud detection model that flags suspicious transactions for analyst review. The system processes personal data including names, contact details, and account history. Fairness risks are considered low based on current understanding. Security controls are in place. No human review is performed before outcomes are applied.",Medium
"Credit scoring tool used by financial staff to support lending decisions. Fairness risks are considered low based on current understanding. Security controls are in place. Final decisions are reviewed by a human. The system supports eligibility decisions in some workflows. Decisions may influence access to services, but a reviewer can override outcomes.",Medium
Internal analytics report that highlights trends in product sales. Sensitive data such as health or biometric data may be included. Bias testing has not yet been performed. Security controls are in place. No human review is performed before outcomes are applied. The tool is partially automated and integrates into existing processes.,Low
"AI system determining insurance eligibility automatically for most cases. Limited personal data is processed, such as user IDs and contact details. Bias testing has not yet been performed. Security controls are in place. Human oversight is limited to spot checks or exceptions. Monitoring and periodic reviews are planned after deployment. Human intervention is possible but uncommon in day-to-day operations. The system operates at large scale and outcomes may be difficult to contest.",High
"Supplier risk scoring model ranking vendors for procurement decision-making. Limited personal data is processed, such as user IDs and contact details. Fairness risks are considered low based on current understanding. Security controls are partially implemented and monitoring is limited. No human review is performed before outcomes are applied. Monitoring and periodic reviews are planned after deployment.",Medium
Medical diagnosis system recommending treatments as final decisions in practice. There is potential impact on protected groups depending on deployment context. The system may be vulnerable to misuse or adversarial manipulation. No human review is performed before outcomes are applied. The system operates at large scale and outcomes may be difficult to contest.,High
Public security system using biometric identification to identify individuals. Sensitive data such as health or biometric data may be included. There is potential impact on protected groups depending on deployment context. The system may be vulnerable to misuse or adversarial manipulation. No human review is performed before outcomes are applied. The tool is partially automated and integrates into existing processes.,High
AI system supporting HR to shortlist CVs before interviews. No personal data is processed. Bias testing has not yet been performed. Security controls are in place. Human oversight is limited to spot checks or exceptions. Monitoring and periodic reviews are planned after deployment.,Medium
"System that drafts email replies for common customer support questions (human edits before sending). The system processes personal data including names, contact details, and account history. Fairness risks are considered low based on current understanding. Security controls are in place. No human review is performed before outcomes are applied. Monitoring and periodic reviews are planned after deployment. The outcome does not directly affect rights, employment, or finances.",Low
Tool that recommends internal training courses based on previous learning history. No personal data is processed. There is potential impact on protected groups depending on deployment context. Security controls are partially implemented and monitoring is limited. No human review is performed before outcomes are applied. The output is used as a risk assessment signal. The system stores basic user account information and audit logs.,Low
Automation that routes internal support tickets to the correct team. No personal data is processed. There is potential impact on protected groups depending on deployment context. The system may be vulnerable to misuse or adversarial manipulation. Human oversight is limited to spot checks or exceptions. The system supports eligibility decisions in some workflows. This is used for internal eligibility checks for training access only.,Low
"Supplier risk scoring model ranking vendors for procurement decision-making. The system processes personal data including names, contact details, and account history. Bias testing has not yet been performed. The system may be vulnerable to misuse or adversarial manipulation. Human oversight is limited to spot checks or exceptions. Monitoring and periodic reviews are planned after deployment.",Medium
"Public security system using biometric identification to identify individuals. Limited personal data is processed, such as user IDs and contact details. Bias testing has not yet been performed. Security controls are in place. No human review is performed before outcomes are applied. Monitoring and periodic reviews are planned after deployment. The system operates at large scale and outcomes may be difficult to contest.",High
"Internal analytics report that highlights trends in product sales. The system processes personal data including names, contact details, and account history. Bias testing has not yet been performed. Security controls are partially implemented and monitoring is limited. Human oversight is limited to spot checks or exceptions. The tool is partially automated and integrates into existing processes. The system stores basic user account information and audit logs. The outcome does not directly affect rights, employment, or finances.",Low
"Medical diagnosis system recommending treatments as final decisions in practice. Sensitive data such as health or biometric data may be included. Fairness risks are considered low based on current understanding. Security controls are in place. Human oversight is limited to spot checks or exceptions. Human intervention is possible but uncommon in day-to-day operations. Decisions can significantly affect individuals in employment, finance, health, or rights.",High
Medical diagnosis system recommending treatments as final decisions in practice. No personal data is processed. There is potential impact on protected groups depending on deployment context. The system may be vulnerable to misuse or adversarial manipulation. No human review is performed before outcomes are applied. The system generates a score used for prioritization. Human intervention is possible but uncommon in day-to-day operations.,High
"Internal dashboard summarizing team productivity metrics for managers. The system processes personal data including names, contact details, and account history. There is potential impact on protected groups depending on deployment context. Security controls are partially implemented and monitoring is limited. Final decisions are reviewed by a human. The system generates a score used for prioritization. The outcome does not directly affect rights, employment, or finances.",Low
Automation that routes internal support tickets to the correct team. No personal data is processed. Fairness risks are considered low based on current understanding. Security controls are in place. Human oversight is limited to spot checks or exceptions. The output is used as a risk assessment signal.,Low
"Fraud detection model that flags suspicious transactions for analyst review. Limited personal data is processed, such as user IDs and contact details. Fairness risks are considered low based on current understanding. The system may be vulnerable to misuse or adversarial manipulation. Final decisions are reviewed by a human. The system supports eligibility decisions in some workflows. The system is used at moderate scale across departments.",Medium
System that drafts email replies for common customer support questions (human edits before sending). No personal data is processed. Bias testing has not yet been performed. Security controls are partially implemented and monitoring is limited. Final decisions are reviewed by a human. The tool is partially automated and integrates into existing processes.,Low
"AI system supporting HR to shortlist CVs before interviews. The system processes personal data including names, contact details, and account history. There is potential impact on protected groups depending on deployment context. Security controls are in place. Human oversight is limited to spot checks or exceptions. The system supports eligibility decisions in some workflows.",Medium
"Fraud detection model that flags suspicious transactions for analyst review. The system processes personal data including names, contact details, and account history. Fairness risks are considered low based on current understanding. Human oversight is limited to spot checks or exceptions. Monitoring and periodic reviews are planned after deployment. Decisions may influence access to services, but a reviewer can override outcomes. Appeals are possible but the process is not fully defined yet.",Medium
"AI system supporting HR to shortlist CVs before interviews. Limited personal data is processed, such as user IDs and contact details. There is potential impact on protected groups depending on deployment context. Security controls are in place. Final decisions are reviewed by a human. The system generates a score used for prioritization.",Medium
"Supplier risk scoring model ranking vendors for procurement decision-making. No personal data is processed. There is potential impact on protected groups depending on deployment context. Security controls are partially implemented and monitoring is limited. Final decisions are reviewed by a human. The output is used as a risk assessment signal. Decisions may influence access to services, but a reviewer can override outcomes.",Medium
Fraud detection model that flags suspicious transactions for analyst review. No personal data is processed. Bias testing has not yet been performed. Security controls are partially implemented and monitoring is limited. Human oversight is limited to spot checks or exceptions.,Medium
Automation that routes internal support tickets to the correct team. Sensitive data such as health or biometric data may be included. Fairness risks are considered low based on current understanding. Security controls are in place. Human oversight is limited to spot checks or exceptions. This is used for internal eligibility checks for training access only.,Low
Medical diagnosis system recommending treatments as final decisions in practice. Sensitive data such as health or biometric data may be included. There is potential impact on protected groups depending on deployment context. Security controls are partially implemented and monitoring is limited. Human oversight is limited to spot checks or exceptions. Monitoring and periodic reviews are planned after deployment. The system operates at large scale and outcomes may be difficult to contest.,High
Internal dashboard summarizing team productivity metrics for managers. No personal data is processed. There is potential impact on protected groups depending on deployment context. Security controls are partially implemented and monitoring is limited. Final decisions are reviewed by a human. The output is used as a risk assessment signal. The system stores basic user account information and audit logs.,Low
"Credit scoring tool used by financial staff to support lending decisions. The system processes personal data including names, contact details, and account history. Fairness risks are considered low based on current understanding. Security controls are partially implemented and monitoring is limited. Human oversight is limited to spot checks or exceptions.",Medium
Credit scoring tool used by financial staff to support lending decisions. Fairness risks are considered low based on current understanding. The system may be vulnerable to misuse or adversarial manipulation. Human oversight is limited to spot checks or exceptions. The output is used as a risk assessment signal. The system is used at moderate scale across departments.,Medium
"Healthcare triage assistant suggesting priority levels for nurse review. Limited personal data is processed, such as user IDs and contact details. Bias testing has not yet been performed. Security controls are in place. No human review is performed before outcomes are applied. Monitoring and periodic reviews are planned after deployment.",Medium
System that drafts email replies for common customer support questions (human edits before sending). Sensitive data such as health or biometric data may be included. There is potential impact on protected groups depending on deployment context. Security controls are in place. No human review is performed before outcomes are applied. The tool is partially automated and integrates into existing processes. The system stores basic user account information and audit logs.,Low
"AI system determining insurance eligibility automatically for most cases. Limited personal data is processed, such as user IDs and contact details. Bias testing has not yet been performed. The system may be vulnerable to misuse or adversarial manipulation. Final decisions are reviewed by a human. The tool is partially automated and integrates into existing processes.",High
"System that drafts email replies for common customer support questions (human edits before sending). Limited personal data is processed, such as user IDs and contact details. There is potential impact on protected groups depending on deployment context. Security controls are in place. No human review is performed before outcomes are applied. The tool is partially automated and integrates into existing processes. This is used for internal eligibility checks for training access only.",Low
Supplier risk scoring model ranking vendors for procurement decision-making. Sensitive data such as health or biometric data may be included. There is potential impact on protected groups depending on deployment context. The system may be vulnerable to misuse or adversarial manipulation. Final decisions are reviewed by a human. The output is used as a risk assessment signal.,Medium
"Automation that routes internal support tickets to the correct team. Limited personal data is processed, such as user IDs and contact details. There is potential impact on protected groups depending on deployment context. The system may be vulnerable to misuse or adversarial manipulation. Human oversight is limited to spot checks or exceptions. Monitoring and periodic reviews are planned after deployment. The system stores basic user account information and audit logs.",Low
"Automated credit approval system making final decisions without routine human review. Limited personal data is processed, such as user IDs and contact details. Fairness risks are considered low based on current understanding. Security controls are in place. No human review is performed before outcomes are applied. The system supports eligibility decisions in some workflows.",High
"Automated credit approval system making final decisions without routine human review. The system processes personal data including names, contact details, and account history. Bias testing has not yet been performed. The system may be vulnerable to misuse or adversarial manipulation. No human review is performed before outcomes are applied. Monitoring and periodic reviews are planned after deployment.",High
"Automated hiring rejection system where applicants have no clear appeal process. Limited personal data is processed, such as user IDs and contact details. Bias testing has not yet been performed. Security controls are in place. Human oversight is limited to spot checks or exceptions. Monitoring and periodic reviews are planned after deployment. The system operates at large scale and outcomes may be difficult to contest.",High
Supplier risk scoring model ranking vendors for procurement decision-making. Sensitive data such as health or biometric data may be included. Fairness risks are considered low based on current understanding. Security controls are partially implemented and monitoring is limited. No human review is performed before outcomes are applied. Monitoring and periodic reviews are planned after deployment.,Medium
"Internal dashboard summarizing team productivity metrics for managers. Limited personal data is processed, such as user IDs and contact details. There is potential impact on protected groups depending on deployment context. The system may be vulnerable to misuse or adversarial manipulation. Final decisions are reviewed by a human. The system supports eligibility decisions in some workflows. The outcome does not directly affect rights, employment, or finances.",Low
Medical diagnosis system recommending treatments as final decisions in practice. Sensitive data such as health or biometric data may be included. There is potential impact on protected groups depending on deployment context. Human oversight is limited to spot checks or exceptions.,High
Automation that routes internal support tickets to the correct team. No personal data is processed. Fairness risks are considered low based on current understanding. Security controls are partially implemented and monitoring is limited. Final decisions are reviewed by a human. Monitoring and periodic reviews are planned after deployment.,Low
"Supplier risk scoring model ranking vendors for procurement decision-making. The system processes personal data including names, contact details, and account history. Bias testing has not yet been performed. Security controls are in place. Human oversight is limited to spot checks or exceptions. The system supports eligibility decisions in some workflows. The system is used at moderate scale across departments.",Medium
"Supplier risk scoring model ranking vendors for procurement decision-making. Limited personal data is processed, such as user IDs and contact details. Fairness risks are considered low based on current understanding. Security controls are partially implemented and monitoring is limited. Human oversight is limited to spot checks or exceptions.",Medium
Healthcare triage assistant suggesting priority levels for nurse review. No personal data is processed. Bias testing has not yet been performed. Security controls are partially implemented and monitoring is limited. Human oversight is limited to spot checks or exceptions. The output is used as a risk assessment signal.,Medium
"System that drafts email replies for common customer support questions (human edits before sending). No personal data is processed. There is potential impact on protected groups depending on deployment context. Security controls are partially implemented and monitoring is limited. Human oversight is limited to spot checks or exceptions. Monitoring and periodic reviews are planned after deployment. The outcome does not directly affect rights, employment, or finances.",Low
Internal dashboard summarizing team productivity metrics for managers. No personal data is processed. Security controls are in place. Final decisions are reviewed by a human.,Low
Credit scoring tool used by financial staff to support lending decisions. Sensitive data such as health or biometric data may be included. Fairness risks are considered low based on current understanding. Security controls are in place. Final decisions are reviewed by a human. Appeals are possible but the process is not fully defined yet.,Medium
Hiring outcome automation system where applicants have no clear appeal process. No personal data is processed. There is potential impact on protected groups depending on deployment context. Security controls are in place. No human review is performed before outcomes are applied. The system supports eligibility decisions in some workflows.,High
AI system supporting insurance eligibility decisions automatically for most cases. Sensitive data such as health or biometric data may be included. There is potential impact on protected groups depending on deployment context. Security controls are partially implemented and monitoring is limited. No human review is performed before outcomes are applied. The system generates a score used for prioritization.,High
"Tool that recommends internal training courses based on previous learning history. The system processes personal data including names, contact details, and account history. Fairness risks are considered low based on current understanding. The system may be vulnerable to misuse or adversarial manipulation. Final decisions are reviewed by a human. The output is used as a risk assessment signal.",Low
"Fraud detection model that flags suspicious transactions for analyst review. Sensitive data such as health or biometric data may be included. Fairness risks are considered low based on current understanding. Security controls are in place. No human review is performed before outcomes are applied. The system supports eligibility decisions in some workflows. Decisions may influence access to services, but a reviewer can override outcomes. Appeals are possible but the process is not fully defined yet.",Medium
"Automated hiring rejection system where applicants have no clear appeal process. Limited personal data is processed, such as user IDs and contact details. There is potential impact on protected groups depending on deployment context. The system may be vulnerable to misuse or adversarial manipulation. No human review is performed before outcomes are applied. The system generates a score used for prioritization. Human intervention is possible but uncommon in day-to-day operations. Decisions can significantly affect individuals in employment, finance, health, or rights. The system operates at large scale and outcomes may be difficult to contest.",High
"Internal dashboard summarizing team productivity metrics for managers. No personal data is processed. Bias testing has not yet been performed. The system may be vulnerable to misuse or adversarial manipulation. No human review is performed before outcomes are applied. Monitoring and periodic reviews are planned after deployment. The outcome does not directly affect rights, employment, or finances.",Low
Automation that routes internal support tickets to the correct team. No personal data is processed. Fairness risks are considered low based on current understanding. Security controls are partially implemented and monitoring is limited. Human oversight is limited to spot checks or exceptions. The tool is partially automated and integrates into existing processes.,Low
"Supplier risk scoring model ranking vendors for procurement decision-making. The system processes personal data including names, contact details, and account history. Bias testing has not yet been performed. Security controls are in place. Final decisions are reviewed by a human. The system supports eligibility decisions in some workflows.",Medium
"Credit scoring tool used by financial staff to support lending decisions. Limited personal data is processed, such as user IDs and contact details. Bias testing has not yet been performed. Security controls are partially implemented and monitoring is limited. Final decisions are reviewed by a human. The tool is partially automated and integrates into existing processes. Decisions may influence access to services, but a reviewer can override outcomes. The system is used at moderate scale across departments.",Medium
"Internal dashboard summarizing team productivity metrics for managers. The system processes personal data including names, contact details, and account history. Fairness risks are considered low based on current understanding. The system may be vulnerable to misuse or adversarial manipulation. Final decisions are reviewed by a human. Monitoring and periodic reviews are planned after deployment.",Low
"Hiring outcome automation system where applicants have no clear appeal process. The system processes personal data including names, contact details, and account history. Bias testing has not yet been performed. Security controls are partially implemented and monitoring is limited. No human review is performed before outcomes are applied. The system generates a score used for prioritization. Human intervention is possible but uncommon in day-to-day operations.",High
"Automation that routes internal support tickets to the correct team. The system processes personal data including names, contact details, and account history. Fairness risks are considered low based on current understanding. The system may be vulnerable to misuse or adversarial manipulation. No human review is performed before outcomes are applied. The system stores basic user account information and audit logs.",Low
"Hiring outcome automation system where applicants have no clear appeal process. The system processes personal data including names, contact details, and account history. Bias testing has not yet been performed. Security controls are in place. No human review is performed before outcomes are applied. Monitoring and periodic reviews are planned after deployment. Human intervention is possible but uncommon in day-to-day operations. Decisions can significantly affect individuals in employment, finance, health, or rights.",High
"Internal analytics report that highlights trends in product sales. No personal data is processed. Bias testing has not yet been performed. Security controls are partially implemented and monitoring is limited. No human review is performed before outcomes are applied. The outcome does not directly affect rights, employment, or finances.",Low
"AI system supporting HR to shortlist CVs before interviews. Fairness risks are considered low based on current understanding. The system may be vulnerable to misuse or adversarial manipulation. Human oversight is limited to spot checks or exceptions. Decisions may influence access to services, but a reviewer can override outcomes. The system is used at moderate scale across departments.",Medium
System that drafts email replies for common customer support questions (human edits before sending). Sensitive data such as health or biometric data may be included. There is potential impact on protected groups depending on deployment context. The system may be vulnerable to misuse or adversarial manipulation. Human oversight is limited to spot checks or exceptions. The system stores basic user account information and audit logs.,Low
Internal dashboard summarizing team productivity metrics for managers. Sensitive data such as health or biometric data may be included. Bias testing has not yet been performed. Security controls are partially implemented and monitoring is limited. No human review is performed before outcomes are applied.,Low
"Public security system using biometric identification to identify individuals. The system processes personal data including names, contact details, and account history. Bias testing has not yet been performed. Security controls are in place. Human oversight is limited to spot checks or exceptions. The output is used as a risk assessment signal.",High
System that drafts email replies for common customer support questions (human edits before sending). Sensitive data such as health or biometric data may be included. Fairness risks are considered low based on current understanding. Security controls are partially implemented and monitoring is limited. Human oversight is limited to spot checks or exceptions. The output is used as a risk assessment signal.,Low
